city,Body Type,Kms_Driven,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seating Capacity,RTO,Ownership,Transmission,Mileage,Engine Displacement,Max Power,Color,Engine Type,Max Torque,No of Cylinder,Value Configuration,Fuel Supply System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Alloy Wheel Size,Ground Clearance Unladen
0,2,120000,20,160,2015,3979,1806,400000.0,13,4,4,5.0,165,4,1,23.1,148,541,138,293,593,3.0,3,53,30,16,0,0,3715,1635,1565,2425,1420,1410,835,1250,9,5,4,4.7,22,7,150,15.05,23,5.0,235.0,4,184.0
0,7,32706,6,50,2018,6087,288,811000.0,86,2,4,5.0,135,3,1,17.0,44,123,138,396,146,3.0,3,23,102,16,0,0,3998,1765,1647,2519,1490,1495,1103,1490,8,5,4,5.3,22,7,170,12.9,26,4.0,352.0,4,184.0
0,2,11949,29,273,2018,2983,129,585000.0,227,2,4,5.0,133,1,1,23.84,14,672,110,355,54,3.0,3,53,80,11,0,0,3746,1647,1535,2400,1400,1420,1012,1490,8,5,4,5.1,5,7,150,14.3,13,5.0,242.0,2,184.0
0,8,17794,9,87,2014,1867,101,462000.0,67,2,4,5.0,167,1,1,19.1,12,648,86,320,36,4.0,3,23,37,6,0,0,3995,1660,1520,2425,1479,1493,1180,1490,9,5,4,4.7,6,7,170,14.2,26,4.0,407.0,2,184.0
0,7,60000,20,178,2015,4277,987,790000.0,13,4,1,5.0,134,1,1,23.65,15,695,55,218,231,4.0,3,49,16,6,3,0,4300,1785,1595,2600,1490,1495,1103,1670,8,5,4,5.1,22,21,190,12.0,26,5.0,353.0,4,184.0
0,7,20000,12,101,2020,5931,485,1900000.0,18,4,1,5.0,134,1,1,17.1,67,265,86,124,418,4.0,3,4,37,6,3,0,4395,1818,1640,2636,1490,1495,1103,1490,21,1,4,5.1,5,6,170,12.9,6,5.0,408.0,5,184.0
0,2,37772,4,37,2017,5223,1684,345000.0,51,2,4,5.0,135,1,1,20.63,13,554,57,344,10,3.0,3,40,37,6,0,0,3785,1635,1490,2450,1440,1445,1070,1490,8,5,4,4.6,0,7,150,13.3,13,5.0,265.0,4,184.0
0,7,30000,9,85,2021,6946,1581,1200000.0,19,4,4,5.0,165,1,0,18.15,148,108,86,278,175,3.0,3,42,37,6,3,0,3995,1770,1605,2500,1490,1495,1440,1490,53,5,4,5.1,5,7,170,12.9,0,5.0,350.0,4,190.0
0,8,37000,20,163,2018,6555,834,960000.0,52,2,4,5.0,133,1,0,20.28,37,19,66,479,109,4.0,3,49,48,6,0,0,4490,1730,1485,2650,1490,1495,1105,1490,3,5,4,5.4,22,7,170,12.9,23,4.0,510.0,4,184.0
0,2,11949,29,273,2017,2985,133,585000.0,104,2,4,5.0,133,1,1,23.84,14,672,110,355,54,3.0,3,53,80,11,0,0,3746,1647,1535,2400,1400,1420,1012,1490,8,5,4,5.1,5,7,150,14.3,13,5.0,242.0,4,184.0
0,2,50000,20,157,2018,3962,85,690000.0,16,4,4,5.0,409,1,1,21.4,12,661,110,455,62,4.0,3,49,37,6,0,0,3995,1745,1510,2520,1515,1525,870,1340,8,5,4,5.1,5,7,180,12.36,26,5.0,339.0,4,184.0
0,2,24887,9,77,2019,5606,107,682000.0,177,4,4,5.0,165,1,0,18.9,12,648,84,320,37,4.0,3,49,37,6,0,0,3765,1660,1520,2425,1479,1493,1200,1490,3,5,4,4.8,5,7,165,12.9,13,5.0,256.0,2,184.0
0,2,23000,8,66,2018,6506,1794,825000.0,210,2,4,5.0,133,1,0,18.2,14,705,57,476,32,4.0,8,64,37,6,0,0,3955,1694,1544,2530,1490,1495,1103,1490,8,5,4,5.1,5,7,172,13.7,26,5.0,354.0,3,184.0
0,2,48928,29,273,2018,5653,134,595000.0,52,2,4,5.0,133,1,0,23.84,14,664,110,355,54,3.0,3,53,80,11,0,0,3746,1647,1535,2400,1400,1420,1012,1490,8,5,4,5.1,5,7,150,12.9,13,5.0,242.0,2,184.0
0,7,108862,17,147,2014,3822,1876,690000.0,48,2,1,7.0,131,4,1,15.1,83,172,116,498,395,4.0,3,24,37,6,3,0,4585,1890,1785,2700,1490,1495,1900,2450,22,5,4,5.6,7,4,175,12.5,27,5.0,352.0,4,184.0
0,7,80000,12,101,2018,5929,473,1350000.0,16,4,1,5.0,199,1,1,17.1,67,265,86,124,418,4.0,3,4,37,6,3,0,4395,1818,1640,2636,1490,1495,1103,1490,21,1,4,5.1,5,6,170,12.9,6,5.0,408.0,5,184.0
0,7,16000,21,204,2022,8437,625,5595000.0,145,2,1,5.0,131,1,0,18.9,66,318,9,278,457,4.0,3,49,37,6,3,0,4436,2020,1611,2729,1617,1596,1675,1490,83,4,4,5.1,5,2,219,12.9,26,5.0,352.0,7,184.0
0,2,65376,9,90,2014,1657,852,521000.0,172,2,1,5.0,160,3,1,21.27,30,699,9,418,255,4.0,3,4,37,6,0,0,3995,1710,1505,2525,1505,1503,1120,1490,21,5,4,5.1,5,2,170,12.9,26,5.0,352.0,2,184.0
0,7,10000,29,265,2022,9207,1926,1005000.0,20,4,4,5.0,132,1,1,17.33,14,107,86,60,170,3.0,3,49,37,6,0,0,3993,1811,1606,2498,1490,1495,1315,1490,21,5,1,5.1,5,7,170,12.9,26,5.0,350.0,4,184.0
0,8,67000,8,63,2016,1215,2099,775000.0,225,2,4,5.0,167,3,1,17.8,44,104,14,469,135,4.0,8,69,37,5,0,0,4440,1695,1495,2600,1480,1465,1049,1490,8,5,4,5.3,5,7,195,10.0,26,4.0,510.0,3,184.0
0,8,100000,1,17,2011,5293,752,2200000.0,9,4,1,5.0,409,4,0,18.48,74,282,138,278,409,4.0,3,6,146,30,0,1,4841,1846,1468,2888,1558,1581,1600,2160,21,5,4,5.1,27,29,170,8.3,26,4.0,352.0,5,184.0
0,2,18083,20,179,2016,10403,1806,582000.0,156,2,4,5.0,134,1,1,22.38,12,694,116,287,45,4.0,3,49,37,6,0,0,3845,1735,1530,2450,1530,1530,1103,1335,16,5,1,4.8,5,7,170,12.9,5,5.0,268.0,4,184.0
0,7,30000,27,236,2020,7703,1453,1090000.0,18,4,4,5.0,131,1,1,16.42,45,39,86,94,122,4.0,3,58,37,6,0,0,4360,1822,1695,2673,1560,1567,1315,1490,16,5,4,5.1,5,7,170,12.9,16,5.0,475.0,4,205.0
0,2,57634,29,273,2016,2983,129,457000.0,139,2,4,5.0,135,3,1,23.84,14,672,116,355,54,3.0,3,53,80,11,0,0,3746,1647,1535,2400,1400,1420,1012,1490,8,5,4,5.1,5,7,150,14.3,13,5.0,242.0,2,184.0
0,8,50000,21,211,2016,4716,1491,4900000.0,14,4,4,5.0,409,3,0,7.81,135,478,86,435,566,8.0,3,23,37,6,3,0,5246,2130,1494,3165,1624,1637,2200,2730,44,7,4,6.15,5,2,250,4.8,26,4.0,530.0,7,184.0
0,8,110000,8,63,2015,1279,2099,550000.0,13,4,4,5.0,108,1,1,17.4,44,104,86,469,135,4.0,8,69,37,5,0,0,4440,1695,1495,2600,1480,1465,1049,1490,9,5,4,5.3,5,7,195,10.0,26,4.0,510.0,3,184.0
0,2,23447,9,81,2018,6670,1646,570000.0,194,2,4,5.0,134,1,0,20.3,3,569,140,30,616,4.0,3,49,37,6,0,0,3610,1645,1560,2400,1463,1481,1050,1490,8,5,4,5.1,5,7,170,12.9,26,5.0,235.0,4,184.0
